Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Noun_freq
hopheads,8,8,7,7,0.16,0.9542,0.1,0.9542,noun,8.0,1.0,noun,8,8
lamebrain,13,9,10,7,0.25,1.1461,0.11,1.0,noun,8.0,0.62,noun.verb,8.5,8
longboats,8,6,7,5,0.16,0.9542,0.07,0.8451,noun,8.0,1.0,noun,8,8
loofa,8,5,7,4,0.16,0.9542,0.06,0.7782,noun,8.0,1.0,noun,8,8
lunkheads,8,8,8,8,0.16,0.9542,0.1,0.9542,noun,8.0,1.0,noun,8,8
malee,15,1,0,0,0.29,1.2041,0.01,0.301,noun,8.0,0.53,noun.name,8.7,8
mapache,16,2,0,0,0.31,1.2304,0.02,0.4771,noun,8.0,0.5,noun.name,8.8,8
mashie,8,5,7,5,0.16,0.9542,0.06,0.7782,noun,8.0,1.0,noun,8,8
meatheads,8,5,7,5,0.16,0.9542,0.06,0.7782,noun,8.0,1.0,noun,8,8
newspaperwoman,8,6,8,6,0.16,0.9542,0.07,0.8451,noun,8.0,1.0,noun,8,8
photostats,8,5,5,4,0.16,0.9542,0.06,0.7782,noun,8.0,1.0,noun,8,8
pilis,8,5,0,0,0.16,0.9542,0.06,0.7782,noun,8.0,1.0,noun,8,8
potpie,10,6,8,5,0.2,1.0414,0.07,0.8451,noun,8.0,0.8,noun.name,8.2,8
putterer,8,1,8,1,0.16,0.9542,0.01,0.301,noun,8.0,1.0,noun,8,8
radiogram,9,4,8,4,0.18,1.0,0.05,0.6990000000000001,noun,8.0,0.89,noun.verb,8.1,8
rassle,8,6,7,5,0.16,0.9542,0.07,0.8451,noun,8.0,1.0,noun,8,8
remoras,9,4,6,2,0.18,1.0,0.05,0.6990000000000001,noun,8.0,0.89,noun.name,8.1,8
saurians,9,1,0,0,0.18,1.0,0.01,0.301,noun,8.0,0.89,noun.name,8.1,8
sheeny,10,3,9,3,0.2,1.0414,0.04,0.6021,noun,8.0,0.8,noun.adjective,8.2,8
sleazeball,8,8,7,7,0.16,0.9542,0.1,0.9542,noun,8.0,1.0,noun,8,8
slumlord,9,7,7,6,0.18,1.0,0.08,0.9031,noun,8.0,0.89,noun.name,8.1,8
sots,8,6,7,6,0.16,0.9542,0.07,0.8451,noun,8.0,1.0,noun,8,8
spittoons,8,8,8,8,0.16,0.9542,0.1,0.9542,noun,8.0,1.0,noun,8,8
tushie,8,6,8,6,0.16,0.9542,0.07,0.8451,noun,8.0,1.0,noun,8,8
whatshisname,19,16,13,11,0.37,1.301,0.19,1.2304,verb,8.0,0.42,verb.noun.name,8.8.3,8
whirlybird,8,5,8,5,0.16,0.9542,0.06,0.7782,noun,8.0,1.0,noun,8,8
whooshes,9,6,9,6,0.18,1.0,0.07,0.8451,noun,8.0,0.89,noun.verb,8.1,8
wimple,8,6,8,6,0.16,0.9542,0.07,0.8451,noun,8.0,1.0,noun,8,8
