Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Preposition_freq
part,13337,5604,12790,5508,261.51,4.1251,66.81,3.7486,Noun,12942.0,0.97,Noun.Adverb.Verb.Preposition.Name,12942.209.125.49.2,49
alias,208,155,143,112,4.08,2.3201,1.85,2.1931,Noun,162.0,0.77,Noun.Preposition,162.48,48
favour,948,603,942,601,18.59,2.9773,7.19,2.781,Noun,855.0,0.9,Noun.Verb.Preposition,855.48.48,48
lieu,57,52,55,50,1.12,1.7634,0.62,1.7243,Preposition,48.0,0.84,Preposition.Noun.Name,48.8.1,48
vice,950,505,550,354,18.63,2.9782,6.02,2.7042,Adjective,537.0,0.57,Adjective.Noun.Adverb.Name.Preposition,537.220.72.70.48,48
opposite,775,650,754,635,15.2,2.8899,7.75,2.8136,Adjective,547.0,0.71,Adjective.Noun.Preposition.Adverb,547.152.47.27,47
la,3518,1101,1782,512,68.98,3.5464,13.13,3.0422,Unclassified,2058.0,0.59,Unclassified.Name.Preposition.Interjection.Noun.Adverb.Adjective,2058.1316.46.37.20.12.1,46
amid,45,40,34,31,0.88,1.6628,0.48,1.6128,Preposition,45.0,1.0,Preposition,45,45
following,2310,1667,2166,1590,45.29,3.3638,19.87,3.2222,Verb,1831.0,0.79,Verb.Adjective.Preposition.Noun.Adverb.Name,1831.386.41.41.9.1,41
tae,48,27,13,12,0.94,1.6902,0.32,1.4472,Preposition,41.0,0.85,Preposition.To,41.7,41
relation,210,165,204,161,4.12,2.3243,1.97,2.2201,Noun,171.0,0.81,Noun.Preposition,171.40,40
respecting,54,53,54,53,1.06,1.7404,0.63,1.7324,Preposition,40.0,0.74,Preposition.Verb,40.14,40
pro,722,490,664,462,14.16,2.8591,5.84,2.6911,Noun,399.0,0.56,Noun.Adjective.Preposition.Adverb,399.263.37.13,37
relative,397,324,384,318,7.78,2.5999,3.86,2.5119,Noun,260.0,0.66,Noun.Adjective.Preposition,260.99.37,37
pertaining,41,35,37,33,0.8,1.6232,0.42,1.5563,Preposition,36.0,0.88,Preposition.Verb,36.5,36
aged,183,155,163,147,3.59,2.2648,1.85,2.1931,Verb,89.0,0.49,Verb.Adjective.Preposition,89.58.35,35
amidst,35,34,28,27,0.69,1.5563,0.41,1.5441,Preposition,35.0,1.0,Preposition,35,35
line,10515,4539,10060,4455,206.18,4.0219,54.11,3.6571,Noun,9959.0,0.95,Noun.Verb.Preposition.Name,9959.507.34.4,34
response,821,598,791,582,16.1,2.9149,7.13,2.7774,Noun,786.0,0.96,Noun.Preposition,786.33,33
board,3272,1682,2920,1575,64.16,3.5149,20.05,3.2261,Noun,2372.0,0.73,Noun.Adverb.Verb.Preposition,2372.641.219.32,32
fear,3523,1912,3206,1821,69.08,3.547,22.79,3.2817,Noun,2110.0,0.6,Noun.Verb.Preposition.Name,2110.1374.32.7,32
adjacent,68,59,64,57,1.33,1.8388,0.7,1.7782,Adjective,37.0,0.54,Adjective.Preposition,37.31,31
excess,156,137,147,131,3.06,2.1959,1.63,2.1399,Adjective,70.0,0.45,Adjective.Noun.Preposition,70.55.31,31
saving,1536,1250,1423,1185,30.12,3.1867,14.9,3.0973,Verb,1388.0,0.9,Verb.Noun.Preposition,1388.115.31,31
nearer,132,100,117,90,2.59,2.1239,1.19,2.0043,Adverb,53.0,0.4,Adverb.Adjective.Preposition,53.50.30,30
conjunction,66,45,64,44,1.29,1.8261,0.54,1.6628,Noun,37.0,0.56,Noun.Preposition,37.29,29
place,30736,7279,30163,7246,602.67,4.4877,86.78,3.8621,Noun,28698.0,0.93,Noun.Verb.Preposition.Name,28698.1993.29.12,29
pre,20,16,18,14,0.39,1.3222,0.19,1.2304,Preposition,29.0,1.0,Preposition,29,29
keeping,2608,2040,2395,1927,51.14,3.4165,24.32,3.3098,Verb,2536.0,0.97,Verb.Noun.Preposition,2536.46.28,28
answer,8986,4344,8076,4105,176.2,3.9536,51.79,3.638,Verb,4857.0,0.54,Verb.Noun.Preposition,4857.4094.26,26
neath,34,16,26,11,0.67,1.5441,0.19,1.2304,Preposition,26.0,0.76,Preposition.Name,26.8,26
reason,9858,4828,9783,4805,193.29,3.9938,57.56,3.6839,Noun,9488.0,0.96,Noun.Verb.Preposition,9488.334.26,26
respect,3644,2265,3476,2226,71.45,3.5617,27.0,3.3553,Noun,2350.0,0.65,Noun.Verb.Preposition,2350.1267.23,23
nearest,382,343,367,331,7.49,2.5832,4.09,2.5366,Adjective,346.0,0.91,Adjective.Preposition.Adverb,346.22.13,22
owing,63,56,50,46,1.24,1.8062,0.67,1.7559,Verb,35.0,0.56,Verb.Preposition.Adjective,35.22.6,22
support,2587,1658,2489,1620,50.73,3.413,19.77,3.2198,Noun,1335.0,0.52,Noun.Verb.Preposition,1335.1232.22,22
means,11136,5250,10949,5198,218.35,4.0468,62.59,3.7202,Verb,9643.0,0.87,Verb.Noun.Adverb.Preposition,9643.1429.47.19,19
pursuant,22,21,10,9,0.43,1.3617,0.25,1.3424,Preposition,19.0,0.86,Preposition.Adjective,19.3,19
thru,31,15,30,15,0.61,1.5051,0.18,1.2041,Preposition,19.0,0.61,Preposition.Adverb,19.12,19
v,1394,661,185,116,27.33,3.1446,7.88,2.8209,Letter,268.0,0.87,Letter.Preposition.Number.Noun.Name,268.16.13.9.1,16
